StudyHours,Attendance,Resources,Extracurricular,Motivation,Internet,Gender,Age,LearningStyle,OnlineCourses,Discussions,AssignmentCompletion,ExamScore,EduTech,StressLevel,FinalGrade,EngagementScore,Consistency,StressImpact,TechScore,ResourceUsage,StudyEfficiency,AttendanceImpact,RiskScore
19,64,1,0,0,1,0,19,2,8,1,59,40,0,1,3,62.554545454545455,0.296875,0.05263157894736842,2.6999999999999997,20.333333333333332,2.1052631578947367,0.046875,22.578181818181818
19,64,1,0,0,1,0,23,3,16,0,90,66,0,1,2,48.75454545454546,0.296875,0.05263157894736842,5.1,30.333333333333332,3.473684210526316,0.03125,28.098181818181818
19,64,1,0,0,1,0,28,1,19,0,67,99,1,1,0,44.154545454545456,0.296875,0.05263157894736842,6.4,22.666666666666668,5.2105263157894735,0.0,29.938181818181818
19,64,1,1,0,1,0,19,2,8,1,59,40,0,1,3,62.554545454545455,0.296875,0.05263157894736842,2.6999999999999997,20.333333333333332,2.1052631578947367,0.046875,22.578181818181818
19,64,1,1,0,1,0,23,3,16,0,90,66,0,1,2,48.75454545454546,0.296875,0.05263157894736842,5.1,30.333333333333332,3.473684210526316,0.03125,28.098181818181818
19,64,1,1,0,1,0,28,1,19,0,67,99,1,1,0,44.154545454545456,0.296875,0.05263157894736842,6.4,22.666666666666668,5.2105263157894735,0.0,29.938181818181818
19,64,0,1,0,1,0,19,2,8,1,59,40,0,1,3,57.554545454545455,0.296875,0.05263157894736842,2.6999999999999997,20.0,2.1052631578947367,0.046875,24.578181818181818
19,64,0,1,0,1,0,23,3,16,0,90,66,0,1,2,43.75454545454546,0.296875,0.05263157894736842,5.1,30.0,3.473684210526316,0.03125,30.098181818181818
19,64,0,1,0,1,0,28,1,19,0,67,99,1,1,0,39.154545454545456,0.296875,0.05263157894736842,6.4,22.333333333333332,5.2105263157894735,0.0,31.938181818181818
19,64,1,1,1,1,0,19,2,8,1,59,40,0,1,3,62.554545454545455,0.296875,0.05263157894736842,2.6999999999999997,20.333333333333332,2.1052631578947367,0.046875,22.578181818181818
19,64,1,1,1,1,0,23,3,16,0,90,66,0,1,2,48.75454545454546,0.296875,0.05263157894736842,5.1,30.333333333333332,3.473684210526316,0.03125,28.098181818181818
19,64,1,1,1,1,0,28,1,19,0,67,99,1,1,0,44.154545454545456,0.296875,0.05263157894736842,6.4,22.666666666666668,5.2105263157894735,0.0,29.938181818181818
19,64,2,0,1,1,0,19,2,8,1,59,40,0,1,3,67.55454545454546,0.296875,0.05263157894736842,2.6999999999999997,20.666666666666668,2.1052631578947367,0.046875,20.578181818181818
19,64,2,0,1,1,0,23,3,16,0,90,66,0,1,2,53.75454545454546,0.296875,0.05263157894736842,5.1,30.666666666666668,3.473684210526316,0.03125,26.098181818181814
19,64,2,0,1,1,0,28,1,19,0,67,99,1,1,0,49.154545454545456,0.296875,0.05263157894736842,6.4,23.0,5.2105263157894735,0.0,27.938181818181818
24,98,1,1,1,1,1,29,0,3,0,65,46,1,2,3,53.96363636363637,0.24489795918367346,0.08333333333333333,1.5999999999999999,22.0,1.9166666666666667,0.030612244897959183,19.614545454545453
24,98,1,1,1,1,1,27,0,0,1,71,83,1,0,1,75.16363636363637,0.24489795918367346,0.0,0.7,24.333333333333332,3.4583333333333335,0.01020408163265306,10.334545454545452
24,98,1,1,1,1,1,25,1,5,1,61,95,1,0,0,73.16363636363637,0.24489795918367346,0.0,2.2,21.0,3.9583333333333335,0.0,11.134545454545453
24,98,0,0,2,1,1,29,0,3,0,65,46,1,2,3,48.96363636363637,0.24489795918367346,0.08333333333333333,1.5999999999999999,21.666666666666668,1.9166666666666667,0.030612244897959183,21.614545454545453
24,98,0,0,2,1,1,27,0,0,1,71,83,1,0,1,70.16363636363637,0.24489795918367346,0.0,0.7,24.0,3.4583333333333335,0.01020408163265306,12.334545454545452
24,98,0,0,2,1,1,25,1,5,1,61,95,1,0,0,68.16363636363637,0.24489795918367346,0.0,2.2,20.666666666666668,3.9583333333333335,0.0,13.134545454545453
24,98,0,0,1,1,1,29,0,3,0,65,46,1,2,3,48.96363636363637,0.24489795918367346,0.08333333333333333,1.5999999999999999,21.666666666666668,1.9166666666666667,0.030612244897959183,21.614545454545453
24,98,0,0,1,1,1,27,0,0,1,71,83,1,0,1,70.16363636363637,0.24489795918367346,0.0,0.7,24.0,3.4583333333333335,0.01020408163265306,12.334545454545452
24,98,0,0,1,1,1,25,1,5,1,61,95,1,0,0,68.16363636363637,0.24489795918367346,0.0,2.2,20.666666666666668,3.9583333333333335,0.0,13.134545454545453
24,98,1,1,2,1,1,29,0,3,0,65,46,1,2,3,53.96363636363637,0.24489795918367346,0.08333333333333333,1.5999999999999999,22.0,1.9166666666666667,0.030612244897959183,19.614545454545453
24,98,1,1,2,1,1,27,0,0,1,71,83,1,0,1,75.16363636363637,0.24489795918367346,0.0,0.7,24.333333333333332,3.4583333333333335,0.01020408163265306,10.334545454545452
24,98,1,1,2,1,1,25,1,5,1,61,95,1,0,0,73.16363636363637,0.24489795918367346,0.0,2.2,21.0,3.9583333333333335,0.0,11.134545454545453
24,98,0,0,0,0,1,29,0,3,0,65,46,1,2,3,48.96363636363637,0.24489795918367346,0.08333333333333333,1.2999999999999998,21.666666666666668,1.9166666666666667,0.030612244897959183,21.614545454545453
24,98,0,0,0,0,1,27,0,0,1,71,83,1,0,1,70.16363636363637,0.24489795918367346,0.0,0.4,24.0,3.4583333333333335,0.01020408163265306,12.334545454545452
24,98,0,0,0,0,1,25,1,5,1,61,95,1,0,0,68.16363636363637,0.24489795918367346,0.0,1.9,20.666666666666668,3.9583333333333335,0.0,13.134545454545453
29,89,1,1,1,1,1,20,0,17,1,75,54,1,2,3,77.57272727272728,0.3258426966292135,0.06896551724137931,5.8,25.666666666666668,1.8620689655172413,0.033707865168539325,11.970909090909089
29,89,1,1,1,1,1,23,2,4,1,59,42,1,2,3,74.37272727272727,0.3258426966292135,0.06896551724137931,1.9,20.333333333333332,1.4482758620689655,0.033707865168539325,13.25090909090909
29,89,1,1,1,1,1,23,0,1,0,96,62,1,2,2,61.77272727272728,0.3258426966292135,0.06896551724137931,1.0,32.333333333333336,2.1379310344827585,0.02247191011235955,18.29090909090909
29,89,0,1,0,1,1,20,0,17,1,75,54,1,2,3,72.57272727272728,0.3258426966292135,0.06896551724137931,5.8,25.333333333333332,1.8620689655172413,0.033707865168539325,13.970909090909089
29,89,0,1,0,1,1,23,2,4,1,59,42,1,2,3,69.37272727272727,0.3258426966292135,0.06896551724137931,1.9,20.0,1.4482758620689655,0.033707865168539325,15.25090909090909
29,89,0,1,0,1,1,23,0,1,0,96,62,1,2,2,56.77272727272728,0.3258426966292135,0.06896551724137931,1.0,32.0,2.1379310344827585,0.02247191011235955,20.29090909090909
19,92,1,1,1,1,0,19,3,12,1,63,40,1,2,3,68.95454545454547,0.20652173913043478,0.10526315789473684,4.3,21.666666666666668,2.1052631578947367,0.03260869565217391,14.818181818181815
19,92,1,1,1,1,0,26,2,3,0,86,94,1,2,0,53.55454545454546,0.20652173913043478,0.10526315789473684,1.5999999999999999,29.0,4.947368421052632,0.0,20.978181818181817
19,92,2,0,1,1,0,19,3,12,1,63,40,1,2,3,73.95454545454547,0.20652173913043478,0.10526315789473684,4.3,22.0,2.1052631578947367,0.03260869565217391,12.818181818181815
19,92,2,0,1,1,0,26,2,3,0,86,94,1,2,0,58.55454545454546,0.20652173913043478,0.10526315789473684,1.5999999999999999,29.333333333333332,4.947368421052632,0.0,18.978181818181817
19,92,2,1,1,1,0,19,3,12,1,63,40,1,2,3,73.95454545454547,0.20652173913043478,0.10526315789473684,4.3,22.0,2.1052631578947367,0.03260869565217391,12.818181818181815
19,92,2,1,1,1,0,26,2,3,0,86,94,1,2,0,58.55454545454546,0.20652173913043478,0.10526315789473684,1.5999999999999999,29.333333333333332,4.947368421052632,0.0,18.978181818181817
19,92,1,0,2,1,0,19,3,12,1,63,40,1,2,3,68.95454545454547,0.20652173913043478,0.10526315789473684,4.3,21.666666666666668,2.1052631578947367,0.03260869565217391,14.818181818181815
19,92,1,0,2,1,0,26,2,3,0,86,94,1,2,0,53.55454545454546,0.20652173913043478,0.10526315789473684,1.5999999999999999,29.0,4.947368421052632,0.0,20.978181818181817
29,84,0,1,0,1,1,21,2,10,1,57,48,1,2,3,67.97272727272727,0.34523809523809523,0.06896551724137931,3.7,19.333333333333332,1.6551724137931034,0.03571428571428571,16.810909090909092
